,company_index,name,category_list,funding_total_usd,status,region,funding_rounds,founded_at
6086,3575,Beam Express,Semiconductors,1300000,1,Europe,1,2006-01-01
6087,3576,Beam Messenger,Messaging|Mobile|Photo Sharing|Real Time,450000,1,North America,1,2014-01-11
6089,3577,Beam Suntory,Wine And Spirits,5170000,1,North America,1,1899-01-01
6091,3578,BeamExpress,Web Hosting,38360000,1,North America,3,2001-01-01
6096,3579,Beanhunter,Curated Web|Reviews and Recommendations,500000,1,Oceania,1,2009-01-01
6097,3580,BeanJockey,Finance,40000,1,North America,1,2012-01-01
6098,3581,Canopy Tax,SaaS|Small and Medium Businesses|Software|Taxis,10000000,1,North America,2,2014-03-01
6100,3582,Beanup,Mobile,40000,1,Europe,1,2011-09-01
6101,3583,Bear butler,Software,960000,1,Asia,1,2014-01-01
6103,3584,Bearch,Consumer Internet,2380000,1,North America,3,2013-01-01
6105,3585,BearTail,Enterprise Software,955000,1,Asia,1,2012-06-26
6106,3586,Beartooth,Communications Hardware|Consumer Electronics|Internet of Things|Mobile|Public Safety,2890000,1,North America,2,2013-11-01
6107,3587,BEAT BioTherapeutics,Biotechnology,2500000,1,North America,1,2008-01-01
6111,3588,Beat the Q,Information Technology,5000000,1,Oceania,1,2011-01-01
6112,3589,BeatBox Beverages,Consumer Goods,1000000,1,North America,2,2011-01-01
6113,3590,BeatDeck,Games|Music,97000,1,North America,2,2012-09-01
6116,3591,The Beatpacking Company,Music,15400000,1,Asia,3,2013-04-19
6118,3592,Beatrobo,Music,1700000,1,North America,2,2012-02-22
6119,3593,Beatroot Music,Music,383006,1,Europe,1,2014-01-01
6120,3594,Beats Electronics,Hardware|Music,500000000,1,North America,1,2006-01-01
6121,3595,Beats Music,Android|Internet|iOS|Music,120000000,0,North America,2,2013-01-01
6122,3596,BeatSwitch,Artists Globally|Collaboration|Event Management|Events|Music|SaaS|Software,1219318,1,Europe,3,2013-09-01
6124,3597,BeatTheBushes,Social Media,150000,1,Europe,1,2011-11-09
6125,3598,BeauCoo,E-Commerce|Fashion|Mobile|Retail|Social Media,1218770,1,North America,2,2012-03-01
6127,3599,Beauteeze.com,Beauty|Mobile|Search|Spas|Startups,70000,1,North America,1,2012-03-01
6128,3600,Beautifeye,Machine Learning|Photography|SaaS|Social Network Media,167856,1,Europe,2,2013-01-01
6131,3601,BeautyBooked,Curated Web,775000,1,North America,2,2013-01-01
6132,3602,Beauty Noted,Beauty,2200000,1,North America,1,2014-02-20
6133,3603,Beauty Works,Wholesale,1260228,1,Europe,1,2010-01-01
6134,3604,BeautyCon,Beauty|Media,2000000,1,North America,1,2011-01-01
6135,3605,Beautycounter,Beauty|Cosmetics|E-Commerce|Health Care,21269417,1,North America,1,2013-01-01
6136,3606,Beautylish,E-Commerce,8500000,1,North America,3,2010-02-01
6139,3607,BeautyTicket.com,Curated Web,450000,0,North America,1,2009-01-01
6140,3608,BeautyTour Inc.,Beauty|Social Media|Social Network Media,88372,1,Asia,1,2012-08-01
6145,3609,Bebestore,E-Commerce,10200000,1,South America,1,2009-01-01
6146,3610,beBetter Health,Health and Wellness,1609173,1,North America,1,1999-01-01
6147,3611,Bebitos,Babies|E-Commerce,1200000,1,North America,2,2012-01-01
6148,3612,MANGLAM EDUCATION,Social Media|Social Network Media,15000000,1,North America,1,2005-01-06
6149,3613,BeBop Sensors,Manufacturing,3425000,1,North America,1,2014-01-01
6151,3614,Beceem Communications,Semiconductors,97800000,1,North America,5,2003-10-01
6153,3615,Becker College,Education,1400000,1,North America,1,1899-12-31
6154,3616,BeckerSmith Medical,Medical Devices,150000,1,North America,2,2009-01-01
6157,3617,"Beckon, Inc.",Analytics|Big Data Analytics|New Technologies|SaaS|Sales and Marketing,23000000,1,North America,3,2011-01-01
6158,3618,BeckonCall,Health Care|Mobile|SaaS,300000,1,North America,1,2012-05-17
6159,3619,becoacht GmbH,Communities|Health and Wellness|Social Commerce,66299,1,Europe,1,2012-10-13
6160,3620,"Become, Inc.",Advertising Platforms|Comparison Shopping|E-Commerce Platforms|Performance Marketing|Search|Shopping,37200000,1,North America,4,2004-01-01
6161,3621,Become Media Inc.,SNS|Social Media,100000,0,Asia,1,2008-08-30
6164,3622,Becual,Crowdfunding|Finance Technology|Financial Services|FinTech|Personal Finance|Social Media,140000,1,South America,1,2014-01-30
6166,3623,Beddit,Health and Wellness,4003472,1,Europe,2,2007-01-01
6167,3624,Bedford Energy,Oil and Gas,250000,1,North America,1,2006-10-02
6168,3625,Bedi OralCare,Biotechnology,212135,1,Europe,1,2013-01-01
6169,3626,Bedloo,Media|News|Software,1918089,1,North America,4,2011-10-01
6172,3627,Bedrock Data,Data Integration|SaaS|Software,3100000,1,North America,1,2012-05-18
6173,3628,Bedrocket Media Ventures,Digital Entertainment|Digital Media|Entertainment|Technology,9578414,1,North America,1,2010-01-01
6174,3629,BedyCasa,All Students|Hospitality|Peer-to-Peer|Rental Housing|Travel,3515401,1,Europe,4,2007-07-01
6176,3630,Bee Cave Games,Games,10850000,1,North America,5,2012-01-01
6185,3631,BeeBillion,E-Commerce|Social Commerce,150000,1,Asia,1,2010-04-12
6186,3632,Beebrite,EdTech|Education|Technology,389590,1,Europe,2,2012-03-03
6187,3633,beebump,Apps|Mobile,50000,1,Europe,1,2014-01-04
6188,3634,Beech Tree Labs,Biotechnology,8711583,1,North America,4,2005-01-01
6189,3635,BeeFirst.in,Advertising|Incentives|Sales and Marketing|Social Media,9522,0,North America,1,2010-10-29
6190,3636,Beegit,Content|Software,358000,1,North America,3,2013-01-01
6191,3637,Beehive Industries,Software,3500000,1,North America,2,2011-03-01
6192,3638,BeehiveID,Biometrics|E-Commerce|Fraud Detection|Identity|Security,70000,1,North America,3,2013-03-01
6193,3639,Beekeeper Data,Big Data,580000,1,North America,2,2014-06-10
6194,3640,Beeken Biomedical,Biotechnology|Health Care|Medical Devices,687462,1,North America,1,2010-01-01
6195,3641,Beeketing,E-Commerce|Email Marketing|Marketing Automation|SaaS|Social Commerce,225000,1,Asia,3,2014-08-01
6197,3642,Beeline,Software,75000,1,North America,1,1999-01-01
6199,3643,Beeline Bikes,E-Commerce|Health and Wellness|SaaS|Services,2600000,1,North America,1,2013-01-01
6200,3644,BEELINE Technologies,Navigation,11240000,1,Oceania,1,1994-01-01
6201,3645,Beem,Collaboration|Digital Media|Enterprises|Enterprise Software|Human Resources|Mobile|SaaS|Small and Medium Businesses|Social Business,573614,1,Europe,2,2012-12-01
6202,3646,Beeminder,Software,25000,1,North America,1,2011-10-10
6204,3647,Beep Networks,Consumer Electronics|Mobile|Sensors|Wireless,4000000,1,North America,2,2012-01-01
6205,3648,Beepi,Automotive|E-Commerce,78950000,1,North America,4,2013-04-01
6206,3649,Beepl,News|Social Media,400000,1,Europe,1,2011-04-01
6207,3650,Beequick,Communities|Retail|Services,90000000,1,Asia,2,2014-06-01
6208,3651,Beer52,Craft Beer,165992,1,Europe,1,2013-05-04
6210,3652,Beers Enterprises,Web Hosting,31125201,1,North America,4,1991-01-01
6212,3653,Beestar,Automotive|B2B|Field Support Services|Fleet Management|Government Innovation|Hardware + Software|Internet of Things|Parking|Taxis,320000,1,Europe,2,2012-12-01
6217,3654,BEETmobile,Software,500000,1,Europe,1,2011-06-01
6218,3655,BeeTV,iPad|Reviews and Recommendations|Social Television|Software|Television|Video on Demand,9500000,0,Europe,2,2007-08-01
6219,3656,Beezag,Advertising|Video,3250000,0,North America,2,2009-02-01
6220,3657,Beezik,Entertainment|Music|Music Services,7216281,1,Europe,2,2009-01-01
6223,3658,Begel Systems,Information Technology|Outsourcing|Technology,45000000,1,Europe,3,2008-01-01
6225,3659,Begun,Advertising,10000000,0,Europe,1,2002-01-01
6226,3660,Behalf,Finance|Internet|Payments,129000000,1,North America,2,2011-01-01
6227,3661,Behance,Creative Industries|Internet,6500000,1,North America,1,2006-02-01
6228,3662,behaview,Advertising|Analytics|Big Data|Machine Learning,250000,1,North America,2,2013-09-01
6229,3663,Behavio,Software,355000,1,North America,1,2012-06-12
6230,3664,Behavioral Recognition Systems,Security|Software|Video,25518015,1,North America,6,2005-01-01
6231,3665,Behavioral Technology Group,Electronics|Gadget|Technology|Wearables,365000,1,North America,2,2013-01-01
6232,3666,BehavioSec,Biometrics|Security,8186733,1,Europe,3,2007-01-01
6233,3667,Behavox,Artificial Intelligence|Data Visualization|Finance Technology,400000,1,Europe,1,2014-06-01
6234,3668,Behind the Burner,Cooking|Curated Web|Wine And Spirits,500000,0,North America,1,2008-01-01
6235,3669,BeHome247,Software,1666340,1,North America,1,2006-01-01
6237,3670,Beibamboo,E-Commerce,5147,1,Europe,1,2009-01-01
6238,3671,BeiBei,E-Commerce,124400000,1,Asia,2,2014-04-01
6239,3672,BeiGene,Biotechnology,171600000,1,Asia,2,2010-01-01
6242,3673,Beijing Beyondsoft,Consulting,3000000,1,Asia,1,1995-01-01
6252,3674,Beijing Feixiangren Information Technology,Curated Web,20000000,1,Asia,1,2005-01-01
6261,3675,Beijing Jingyuntong Technology,Mobile,8759124,1,Europe,1,2002-01-01
6269,3676,Beijing Legend Silicon,Messaging,86370000,1,Asia,5,2000-01-01
6271,3677,Beijing Lingdong Kuaipai Information Technology,Mobile,3174603,1,Asia,1,2010-03-01
6272,3678,Beijing Lingtu Software,Software,30000000,1,Asia,1,1999-01-01
6273,3679,Longxun Changtian Technology,Software,8500000,1,Asia,2,2002-01-01
6274,3680,Beijing Moca World Technology,Games|Video,12000000,0,Asia,2,2007-01-01
6275,3681,KakaMobi,Mobile,162364,1,Asia,1,2011-01-01
6277,3682,Beijing NetentSec,Security,3000000,1,Asia,2,2004-01-01
6279,3683,Novel SuperTV,Software,6000000,1,Asia,2,1998-01-01
6282,3684,Beijing Redbaby Internet Technology,E-Commerce,70500000,1,Asia,5,2004-01-01
6286,3685,Beijing second hand information company,Advertising,50000000,1,Asia,5,2006-01-01
6291,3686,Tiangua Online,Games,2100000,1,Asia,3,2011-12-16
6292,3687,Beijing TierTime Technology,Mobile,1647446,1,Asia,1,2003-01-01
6293,3688,Ti Knight,Games,1000000,1,Asia,2,2011-10-01
6294,3689,Transinfo Group,Public Transportation,11623640,1,Asia,2,2000-01-01
6295,3690,Beijing TRS Information Technology,Search,3578158,1,Asia,2,1993-01-01
6298,3691,Beijing Weiying Technology,E-Commerce,340000000,1,Asia,2,2014-01-01
6300,3692,Xuehuile,Education,2435460,1,Asia,1,2010-01-01
6302,3693,Youxigu,Games,16820910,1,Asia,2,2007-01-01
6304,3694,Yuepu Sifang,Manufacturing,20000000,1,Asia,2,2003-04-01
6305,3695,Yunzhisheng,Mobile,16236400,1,Asia,1,2012-06-01
6309,3696,Beijingyicheng,Health Care|Medical,10248901,1,Asia,1,1993-01-01
6310,3697,BeInSync,Web Hosting,8000000,1,Asia,2,2004-01-01
6311,3698,Beintoo,Advertising|Apps|Data Integration|Mobile|Mobile Advertising|Software,7550000,1,North America,3,2011-01-01
6313,3699,BeiZ,Games,755700,1,Asia,1,2011-01-01
6314,3700,BEKIZ,E-Commerce,6914294,1,Asia,2,2011-01-01
6316,3701,BelAir Networks,Mobile|Wireless,60900000,1,North America,4,2002-01-01
6317,3702,Belancer.com,Freelancers|Internet|Marketplaces,40000,1,Asia,2,2015-05-01
6318,3703,Belanit,Design|E-Commerce|Fashion,40000,1,South America,1,2013-08-01
6319,3704,Beleza.Com,Retail,26499973,0,South America,1,2012-01-01
6320,3705,Beleza na Web,Beauty|Cosmetics|E-Commerce|Retail,45000000,1,South America,3,2009-03-01
6322,3706,Beliaa,Apps|Automotive|Cars|Innovation Management|Mechanical Solutions|Mobile|Transportation,10198,1,Africa,1,2013-06-01
6323,3707,BeliefNet,Curated Web|Wine And Spirits,7000000,1,North America,1,2008-01-01
6324,3708,BeliefNetworks,Machine Learning|Predictive Analytics|Software,3486023,1,North America,2,2007-01-01
6326,3709,Believe Digital,Curated Web,60000000,1,Europe,1,2004-12-01
6327,3710,BelieversFund,Android|Apps|Crowdfunding|Finance|FinTech|iPhone|Mobile,50000,0,Europe,1,2011-04-01
6328,3711,Belita,Fashion,375000,1,Asia,1,2006-01-01
6330,3712,Bell and Howell,Hardware + Software|Information Technology|Services,25000000,1,North America,1,1936-01-01
6331,3713,Bell Biosystems,Biotechnology,5310250,1,North America,2,2009-01-01
6333,3714,Bella Pictures,Curated Web,10300000,1,North America,1,2003-01-01
6334,3715,Bella Professional Services,Legal,500,1,North America,1,2014-11-30
6335,3716,Bella Vita Consultants,Consulting|Healthcare Services|Medical|Tourism|Travel & Tourism,42000,1,North America,1,2014-11-12
6336,3717,Bella Vita Global S.L,Consulting|Real Estate|Tourism,47000,1,Europe,1,2013-03-01
6337,3718,Bellabeat,Hardware + Software|Health Care,4500000,1,North America,1,2014-01-01
6338,3719,Bellabox,E-Commerce,4070000,1,Asia,2,2011-01-01
6339,3720,BellaDati,Analytics|B2B|Big Data|Insurance|Mobile|Software|Web Development,3000000,1,Asia,1,2012-12-19
6340,3721,Bellbrook Labs,Biotechnology,187291,1,North America,1,2007-01-01
6343,3722,Belleds Technologies,Consumer Electronics|Consumer Goods|Electronics,100000,1,North America,1,2014-01-01
6345,3723,Bellhops,Collaborative Consumption|Labor Optimization,7800000,1,North America,4,2013-01-01
6346,3724,Bellicum Pharmaceuticals,Biotechnology,145932588,2,North America,10,2004-07-01
6349,3725,Bellwave Co,Design|Innovation Management|Mobile|Mobile Commerce,13000000,1,Asia,1,1999-09-01
6351,3726,Belly,Advertising|Android|Incentives|iPhone|Loyalty Programs|Marketing Automation|Mobile|Small and Medium Businesses,24975000,1,North America,4,2011-08-01
6352,3727,Belly Ballot,Babies|Parenting|Social Media,75000,1,North America,1,2011-09-15
6353,3728,Bellybaloo,Medical|Photography,105000,1,North America,1,2011-12-01
6358,3729,Belong,Internet,5000000,1,Asia,1,2014-01-01
6363,3730,BeMe,E-Commerce,2619242,1,North America,1,2013-01-01
6365,3731,BeMe Intimates,E-Commerce,575000,1,North America,1,2013-01-01
6366,3732,BeMo,Business Services|Project Management|SaaS|Service Providers|Small and Medium Businesses,100000,1,North America,1,2010-01-01
6367,3733,beModel,Curated Web|Fashion|Photography,150000,1,North America,4,2008-08-01
6368,3734,bemoir,Social Media Platforms,80000,1,Europe,1,2014-03-01
6369,3735,BeMyEye,Crowdsourcing|Market Research|Shopping,2767387,1,Europe,1,2011-01-01
6370,3736,BeMyGuest,Travel,3540000,1,Asia,3,2012-03-01
6371,3737,BeMySpot LTD,Brand Marketing|Internet Marketing|Services,100,0,Europe,1,2014-10-24
6373,3738,Ben Franklin Technology Partners of Northeast Pennsylvania,Private Social Networking,1700000,1,North America,1,1983-01-01
6374,3739,"Ben Jen Online, LLC",Consulting|Customer Support Tools|Tech Field Support,350000,1,North America,2,2003-10-01
6375,3740,Benaissance,Software,7000000,1,North America,1,2001-01-01
6377,3741,Bench,Accounting|Enterprises|Finance|Network Security|SaaS|Small and Medium Businesses|Software,10000000,1,North America,4,2012-01-01
6378,3742,BenchBanking,Advertising,241903,1,South America,5,2012-03-23
6380,3743,Benchling,Biotechnology,5900000,1,North America,3,2012-01-01
6381,3744,Benchmark Bank,Banking,5200000,1,North America,1,1964-01-01
6383,3745,BenchPrep,Android|Certification Test|Colleges|Education|iPad|iPhone|Testing,8200000,1,North America,2,2010-08-01
6386,3746,BeneChill,Health Care,35513893,1,North America,4,2004-01-01
6387,3747,Benefex Group,Software,6524375,1,Europe,1,2003-05-18
6389,3748,Benefit Mobile,Charter Schools|E-Commerce|Gift Card|Mobile|Mobile Payments|Non Profit|Nonprofits,1200378,1,North America,2,2012-09-01
6390,3749,Benefit Resource,Health and Wellness,250000,1,North America,1,1993-01-01
6391,3750,Benefitfocus,Software,74664439,2,North America,1,2000-06-01
6394,3751,Benefitter,Health and Insurance|SaaS|Services|Software,7157090,1,North America,3,2012-01-01
6398,3752,beneSol,Biotechnology,95000,1,North America,1,2011-01-01
6399,3753,BeneStream,Health Care|Medical|SaaS|Services|Software,9590000,1,North America,5,2011-01-01
6400,3754,Benetel,Design|Telecommunications|Wireless,822997,1,Europe,1,2001-01-01
6401,3755,Benevir Biopharm,Biotechnology,2000000,1,North America,1,2011-01-01
6402,3756,Benevity,Information Technology|Interface Design|SaaS|Software,29264085,1,North America,1,2008-01-01
6403,3757,Benhauer,Marketing Automation|Software,1700000,1,Europe,2,2011-01-01
6406,3758,Benitec Ltd,Biotechnology,30826728,0,Oceania,1,2001-01-01
6408,3759,Benjamin's Desk,Entrepreneur|Innovation Management|Mobile Commerce,150000,1,North America,1,2012-08-01
6412,3760,"benobe, LLC",Career Planning|Education|Technology,20000,1,North America,1,2014-10-01
6413,3761,Be-novative,Creative|Crowdsourcing|Gamification|Innovation Management|Social Innovation,400000,1,North America,1,2011-07-21
6414,3762,Bensata,Social Media,225000,0,North America,2,2007-01-01
6416,3763,Benson Hill Biosystems,Biotechnology,8380971,1,North America,7,2012-01-01
6417,3764,Bensussen Deutsch,Advertising|Brand Marketing|E-Commerce|Sporting Goods,75000000,1,North America,1,1984-01-01
6420,3765,Bento,Financial Services|FinTech|Small and Medium Businesses,2500000,1,North America,1,2013-01-01
6421,3766,Bento Labs,Apps,2000000,1,North America,1,2014-01-01
6422,3767,BentoBox,Internet|Restaurants|Startups|Web CMS,1200000,1,North America,1,2013-08-01
6423,3768,Bento,Apps,1500000,1,North America,1,2015-03-09
6425,3769,Benu Networks,Internet Infrastructure|Mobile|Mobile Infrastructure|Telecommunications|Wireless,63730248,1,North America,4,2010-01-01
6426,3770,Benvenue Medical,Health Care,149465921,1,North America,8,2004-01-01
6427,3771,Benzinga,Finance|FinTech|News|Online Education,1500000,1,North America,1,2011-01-01
6431,3772,BeQuan,Brand Marketing|Career Management|Human Resources|Networking|Recruiting|Social Media|Social Network Media,200000,1,Europe,1,2009-07-01
6432,3773,BeRanked,Business Services|Customer Service|Internet Marketing,12500000,0,North America,3,2011-01-01
6434,3774,beRecruited,Blogging Platforms|Colleges|Education|Networking|Recruiting|Sports,1200000,1,North America,1,2000-01-01
6435,3775,Berg,Software,1300000,1,Europe,1,2005-01-01
6438,3776,Bergey's,Automotive,7533014,1,North America,4,1924-01-01
6439,3777,Berggi,Mobile,12000000,0,North America,2,2004-01-01
6441,3778,Bering Media,Advertising|Data Privacy|Internet Service Providers,7500000,1,North America,2,2008-01-01
6442,3779,Ekso Bionics,Hardware + Software|Wearables,36824722,2,North America,4,2005-01-01
6443,3780,Berkeley Design Automation,Nanotechnology,20250000,1,North America,3,2001-10-01
6445,3781,Berkley Networks,E-Commerce,1642500,1,North America,4,2005-01-01
6446,3782,Berkäna Wireless,Mobile,26500000,1,North America,4,2001-02-01
6449,3783,Bermai,Communications Infrastructure|Wireless,12000000,1,North America,1,2001-01-01
6451,3784,Bernard Health,Advice|Consulting|Financial Services|Health and Insurance|Health Care|Hospitals,4000000,1,North America,2,2006-06-01
6453,3785,Beroomers,All Students|Hospitality|Travel,278088,1,Europe,1,2013-09-01
6455,3786,Berry Kitchen,Customer Service|E-Commerce|Specialty Foods,1250000,1,Asia,2,2012-01-01
6456,3787,Berry White,Organic Food,499367,1,Europe,1,2011-09-19
6457,3788,Berrybenka,E-Commerce|Fashion,5000000,1,Asia,2,2011-01-01
6460,3789,Beryllium,Biotechnology,11500142,1,North America,2,2009-01-01
6461,3790,Besepa,Banking|FinTech,291841,1,Europe,2,2014-10-17
6463,3791,"Besomebody, Inc.",Development Platforms|E-Commerce|Education|Marketplaces|Social Media,2000000,1,North America,2,2014-06-01
6464,3792,BESOS,Beauty|Consumer Goods|Online Shopping,144,1,North America,1,2014-03-01
6465,3793,Bespoke,B2B|Creative|Enterprises|Enterprise Software|Media|Mobile|Startups|Technology,75000,1,North America,1,2012-01-01
6466,3794,Bespoke Global,E-Commerce,3911643,1,North America,5,2011-01-01
6467,3795,Bespoke Innovations,Health Care,2100000,1,North America,2,2009-01-01
6468,3796,Bespoke Post,Curated Web,875000,1,North America,3,2011-01-01
6472,3797,Besstech,Clean Technology|Semiconductors,300000,1,North America,1,2010-07-27
6474,3798,BEST Athlete Management,Entertainment|Games,2000000,1,North America,1,2014-04-05
6475,3799,Best Before Media,Broadcasting|iPhone|News|Services|Video,1470551,1,Europe,2,2002-01-01
6477,3800,Best Doctors,Health Care,65500000,1,North America,2,1989-01-01
6478,3801,Best Five Reviewed,Advertising|Digital Media|E-Commerce,6000,1,Europe,1,2012-04-01
6479,3802,Best Learning English,Education,15906680,1,Asia,1,2008-01-01
6480,3803,BEST Logistics Technology,Public Transportation,27804097,1,Asia,3,2007-01-01
6481,3804,Best Money Decisions,Finance|Venture Capital,1200000,1,North America,1,1995-12-01
6483,3805,Best Response Strategies,Software|Web Hosting|Web Tools,3084000,1,North America,3,2010-01-01
6487,3806,BestBoy Keyboard,Design|Hardware|Mobile,215,0,Europe,1,2014-04-28
6489,3807,BestContractors.com,Curated Web,3450000,1,North America,1,2005-01-01
6490,3808,Bestdealfinance,Financial Services,3000000,1,Asia,1,2014-10-22
6493,3809,Bestofmedia Group,News,38930000,1,North America,2,2000-01-01
6494,3810,Bestowed,E-Commerce|Fitness|Health and Wellness|Nutrition,75000,1,North America,1,2012-06-01
6495,3811,BestSecret.com,Fashion|Online Shopping|Shopping,248000000,1,Europe,1,2007-01-01
6496,3812,Beststudy,Education,10000000,1,Asia,3,1997-01-01
6498,3813,BestVendor,B2B|Network Security|Software,4225000,1,North America,4,2011-01-01
6499,3814,beStylish.com,E-Commerce|Fashion|Shoes,10000000,0,Asia,1,2011-05-10
6502,3815,BET Information Systems,Software,18400000,1,North America,3,2006-01-01
6503,3816,Bet4talent,Human Resources|Professional Services|Recruiting|Startups,77594,1,Europe,1,2014-06-01
6504,3817,Beta Cat Pharmaceuticals,Biotechnology,1814561,1,North America,3,2010-01-01
6506,3818,Beta-O2 Technologies,Medical Devices,2000000,1,Asia,2,2004-01-01
6507,3819,Betable,Games,18500000,1,Europe,2,2008-01-01
6508,3820,Betabrand,E-Commerce|Fashion,23204000,1,North America,5,2009-12-01
6510,3821,Betahaus,Coworking|Education|Media|Office Space|Sales and Marketing|Social Media,125000,1,Europe,1,2010-08-15
6511,3822,Betaout,Enterprise Software|SaaS,618000,1,North America,2,2013-02-02
6514,3823,BetaStudios,E-Commerce,59063,1,Asia,2,2007-11-01
6515,3824,BetaUsersNow.com,Curated Web|Reviews and Recommendations|Startups,10000,0,North America,1,2011-05-01
6516,3825,BetaVersity,Consulting|EdTech|Education|Technology,50000,1,North America,1,2013-04-01
6517,3826,Betaworks,Coworking|Social Media,47500000,1,North America,3,2008-01-01
6523,3827,BethClip,Android|Big Data|Cloud Computing|Cloud Data Services|File Sharing|General Public Worldwide|iOS|Mobile Devices,55000,1,North America,2,2013-05-01
6524,3828,BeTheBeast,Social Media,1650000,1,North America,2,2011-01-01
6526,3829,BeThereRewards,Broadcasting|Concerts|Events|Media|Music|News|Nightlife|Software|Video Streaming,100000,1,North America,1,2006-12-04
6527,3830,Betify,iPhone|Mobile|Social Network Media|Software,250000,1,Europe,1,2013-05-13
6528,3831,BetKlub,Gambling|Games|Social Media,126180,1,Europe,1,2008-12-21
6529,3832,betNOW,Curated Web|Gambling,5000000,0,Europe,1,2005-01-01
6532,3833,better.,Health and Wellness|Technology,5000000,1,North America,1,2013-01-01
6533,3834,Better,Education|Enterprises|Enterprise Software|Training,10000000,1,North America,1,2012-01-01
6534,3835,Better ATM Services,Finance|FinTech,1000000,1,North America,1,2004-01-01
6535,3836,Better Bean,Consumer Goods|Recycling|Storage,1500000,1,North America,2,2009-01-01
6536,3837,Better Day Health,Health and Wellness|Health Care|Service Providers,3300000,1,North America,1,2010-01-01
6539,3838,Better Mobile Security,Information Technology,2512245,1,North America,2,2011-01-01
6540,3839,Better Place,Clean Technology,925000000,1,North America,6,2007-10-29
6543,3840,Better Weekdays,Career Management|Career Planning|Startups,1700000,1,North America,3,2011-01-01
6545,3841,BetterCloud,Cloud Security|Enterprise Software|Google Apps|SaaS,46850000,1,North America,5,2011-11-01
6547,3842,BetterCompany,Social Network Media,7700000,1,North America,2,2011-01-01
6548,3843,BetterDoctor,Apps|Consumers|Doctors|Health and Wellness|Health Care|Internet|Marketplaces|Mobile|SaaS|Search,13125000,1,North America,3,2011-08-01
6549,3844,Better Finance,E-Commerce,37000000,1,North America,4,2009-01-01
6550,3845,BetterFit Technologies (Defunct),Health and Wellness|mHealth,443000,1,North America,3,2011-11-16
6551,3846,Betterfly,All Students|Curated Web|Education|Teachers,2500000,1,North America,3,2010-01-01
6554,3847,BetterLesson,Curated Web,5358914,1,North America,3,2008-01-01
6555,3848,bettermarks,Education|K-12 Education,29910691,1,Europe,5,2008-01-01
6556,3849,Betterment,Finance|Investment Management,105000000,1,North America,5,2008-08-25
6557,3850,BetterWorks,Enterprise Software|Information Technology|SaaS,15000000,1,North America,3,2013-10-01
6558,3851,Better World Books,E-Books|E-Commerce|Internet,4500000,1,North America,1,2003-01-01
6559,3852,Bettery,E-Commerce,357641,1,North America,1,2011-01-01
6561,3853,BettingXpert,Consulting|Gambling|Sports,14168,1,Europe,1,2009-08-01
6562,3854,BettrLife,Employer Benefits Programs|Fitness|Health and Wellness|Health Care|Information Technology,550000,1,North America,2,2010-03-01
6564,3855,Bettymovil,Games,2000000,0,Europe,1,2010-01-01
6565,3856,Bettyvision,Curated Web|Networking|Social Network Media|Training|Women,200000,1,North America,2,2012-01-15
6566,3857,BetUknow,Public Relations|Sports,750000,0,Asia,1,2007-07-15
6567,3858,Between,Mobile|Photo Sharing,4000000,1,Asia,3,2011-02-10
6569,3859,Betyah,Advertising,325000,1,North America,1,2012-08-07
6572,3860,Bevalley,Analytics|Business Intelligence|Data Visualization|Social Media|Social Network Media|Software,1700000,0,Europe,1,2010-03-01
6573,3861,BevBucks,Analytics|Consumer Behavior|Data Integration|Hotels|Restaurants,275000,1,North America,1,2012-08-01
6574,3862,CL3VER,3D|3D Printing|CAD|SaaS|Software|Web Development,661260,1,Europe,6,2011-10-01
6575,3863,Bevi,Consumer Electronics,8000000,1,North America,3,2013-01-01
6576,3864,Bevii,Location Based Services|Mobile|Social Media,300000,1,North America,1,2013-05-01
6577,3865,Bevo Media,Advertising|Internet Marketing,300000,1,North America,1,2008-02-01
6578,3866,BeVocal,Web Hosting,10000000,1,North America,1,1999-01-01
6580,3867,BevSpot,Distribution|Retail|Software,6090000,1,North America,3,2014-03-10
6581,3868,Bevvy,Coupons|E-Commerce|Group Buying|Hospitality|Nightclubs,100000,0,North America,1,2011-01-08
6582,3869,Bevy,Social Media,1200000,0,North America,1,2007-09-27
6587,3870,Bewarket,E-Commerce|Marketplaces|Sales and Marketing|Social Commerce,100000,1,Europe,1,2012-01-30
6588,3871,Bex,Curated Web,1050000,0,North America,2,2011-01-01
6590,3872,Beyond.com,Recruiting,13500000,1,North America,2,1998-01-01
6592,3873,Beyond Compliance,Software,7000000,1,North America,1,2000-01-01
6593,3874,Beyond Credentials,Marketplaces,75000,1,North America,2,1998-01-01
6596,3875,Beyond Gaming,Games,190000,1,North America,2,2006-03-01
6597,3876,Beyond Lucid Technologies,B2B|Health and Wellness|Health Care|Mobile Emergency&Health|Software,1159500,1,North America,5,2009-05-01
6598,3877,Beyond Meat,Consumers|Health and Wellness|Health Care|Specialty Foods,17000000,1,North America,2,2009-01-01
6600,3878,Beyond Pricing,Big Data|Real Estate|SaaS|Travel,1500000,1,North America,1,2014-01-01
6603,3879,Beyond the Rack,Fashion,98600000,1,Asia,7,2009-01-01
6604,3880,Beyond The U,All Students|Education,275000,1,North America,1,2014-09-15
6605,3881,Beyond Verbal,Analytics|Big Data|Cloud Computing|Health and Wellness|Internet of Things|Mobile|Personal Health,7100000,1,Asia,3,2012-04-02
